nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,imagen_url,fecha_scraping,protein_per_serving_g,serving_size_g,servings_per_container,sweetener_free,flavors_available,store_rating,store_rating_count,store_rating_url
Creatine monohydrate 500g + 250g Free,AMIX NUTRITION,Creatina,53.9,0.5,107.8,Nutritienda,https://www.nutritienda.com/es/amix-nutrition-creatina-monohidrato-750g,https://nutritienda-cdn.sirv.com/catalog/big/a/873-amix-nutrition-creatine-monohydrate-750g-v2.jpg?scale.width=170,2026-06-08,,3.0,250.0,,,4.52,24.0,https://www.nutritienda.com/es/amix-nutrition-creatina-monohidrato-750g
Zero Creatine 300 g,,Creatina,33.38,0.3,111.27,Prozis,https://www.prozis.com/es/es/prozis/zero-creatine-300-g,//static.sscontent.com/thumb/750/750/t/products/124/v1728564_prozis_zero-creatine-300-g_1.png,2026-06-08,,,,,"['Lima-limón', 'Naranja', 'Sandía']",4.72,1.0,https://www.prozis.com/es/es/prozis/zero-creatine-300-g
Creatina MicronPure 600g,,Creatina,68.24,0.6,113.73,Prozis,https://www.prozis.com/es/es/prozis/creatina-micronpure-600g,//static.sscontent.com/thumb/750/750/t/products/124/v1699030_prozis_creatine-micronpure-600g_lemon-lime_flavor_21.png,2026-06-08,,,,,"['Neutro', 'Cola', 'Lima-Limón', 'Mango y Melocotón', 'Naranja', 'Sandía']",4.68,1.0,https://www.prozis.com/es/es/prozis/creatina-micronpure-600g
Creatina Creapure® 300 g,,Creatina,34.99,0.3,116.63,Prozis,https://www.prozis.com/es/es/prozis/creatina-creapure-300-g,//static.sscontent.com/thumb/750/750/t/products/124/v1767112_prozis_creatine-creapure-300g_1.png,2026-06-08,,,,,"['Neutro', 'Cola', 'Lima-Limón', 'Naranja', 'Sandía']",4.75,1.0,https://www.prozis.com/es/es/prozis/creatina-creapure-300-g
Creatina MicronPure 300 g,,Creatina,38.99,0.3,129.97,Prozis,https://www.prozis.com/es/es/prozis/creatina-micronpure-300-g,//static.sscontent.com/thumb/750/750/t/products/124/v1698735_prozis_creatine-micronpure-300g_1.png,2026-06-08,,,,,"['Neutro', 'Cola', 'Lima-Limón', 'Mango y Melocotón', 'Naranja', 'Sandía']",4.68,1.0,https://www.prozis.com/es/es/prozis/creatina-micronpure-300-g
Zero Creatine 150 g,,Creatina,21.59,0.15,143.93,Prozis,https://www.prozis.com/es/es/prozis/zero-creatine-150-g,//static.sscontent.com/thumb/750/750/t/products/124/v1727036_prozis_zero-creatine-150g_1.png,2026-06-08,,,,,"['Lima-limón', 'Naranja', 'Sandía']",4.72,1.0,https://www.prozis.com/es/es/prozis/zero-creatine-150-g
CREATINA EXCELL (100% Creapure®) EN POLVO 150g,,Creatina,23.31,0.15,155.4,HSN,https://www.hsnstore.com/marcas/raw-series/creatina-excell-100-creapure-en-polvo,https://www.hsnstore.com/static/version1780488625/frontend/Hiberus/hsn/es_ES/Hiberus_ProductTag/images/hsn_highlight.svg,2026-06-08,,3.4,147.0,False,,4.75,6590.0,https://www.hsnstore.com/marcas/raw-series/creatina-excell-100-creapure-en-polvo
Creatina Creapure® Professional 150 g,,Creatina,43.99,0.15,293.27,Prozis,https://www.prozis.com/es/es/prozis/creatina-creapure-professional-150-g,//static.sscontent.com/thumb/750/750/t/products/124/v1474128_prozis_creatine-creapure-professional-150-g_natural_flavor_21.png,2026-06-08,,,,,['Neutro'],4.71,1.0,https://www.prozis.com/es/es/prozis/creatina-creapure-professional-150-g
Pack Clear Performance 100g,,Creatina,44.99,0.1,449.9,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/pack-clear-performance/15288056/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/15288057-6865137745179242.jpg&format=webp&width=1500&height=1500&fit=cover,2026-06-08,,,,,"['Arándano y Frambuesa', 'Frambuesa y Limonada', 'Tropical Dragon Fruit']",,,
CREATINA 20 x 10g,NUTRISPORT,Creatina,15.84,0.01,1584.0,Nutritienda,https://www.nutritienda.com/es/nutrisport-creatina-100-20x5g,https://nutritienda-cdn.sirv.com/catalog/big/nutrisport-creatina-20x10g.jpg?scale.width=170,2026-06-08,,10.0,20.0,,,4.38,1.0,https://www.nutritienda.com/es/nutrisport-creatina-100-20x5g
THE Creatine (Creapure) |Sobres monodosis 10g,,Creatina,19.99,0.01,1999.0,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/the-creatine-creapure-sobres-monodosis/16630358/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/16630365-6065271206670603.jpg&format=webp&width=1500&height=1500&fit=cover,2026-06-08,,,,,,,,
