nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,imagen_url,fecha_scraping,protein_per_serving_g,serving_size_g,servings_per_container,sweetener_free,flavors_available,store_rating,store_rating_count,store_rating_url
Origin Intra-Workout 1.2kg,,BCAA,25.49,1.2,21.24,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/origin-intra-workout/16872733/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/16872735-1555272544698212.jpg&format=webp&width=1500&height=1500&fit=cover,2026-05-24,,,,,"['Blue Slushie', 'Original (White)', 'Raspberry Candy']",,,
BCAA'S INSTANTÁNEO 2:1:1 2.0 150g,,BCAA,4.42,0.15,29.47,HSN,https://www.hsnstore.com/marcas/raw-series/bcaas-instantaneo-2-1-1-2-0,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/b/c/bcaas-2-1-1-hsn_1.jpg,2026-05-24,,5.0,100.0,False,['SIN SABOR'],4.65,366.0,https://www.hsnstore.com/marcas/raw-series/bcaas-instantaneo-2-1-1-2-0
BCAA'S INSTANTÁNEO 4:1:1 2.0 150g,,BCAA,5.54,0.15,36.93,HSN,https://www.hsnstore.com/marcas/raw-series/bcaa-s-instantaneo-4-1-1-2-0,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/b/c/bcaas-4-1-1-raw-hsn_1.jpg,2026-05-24,,5.0,200.0,False,['SIN SABOR'],4.6,308.0,https://www.hsnstore.com/marcas/raw-series/bcaa-s-instantaneo-4-1-1-2-0
High Energy Gel Bcaa 76g,226ers,BCAA,3.15,0.076,41.45,Nutritienda,https://www.nutritienda.com/es/226ers/high-energy-gel-bcaa-76g,https://nutritienda-cdn.sirv.com/catalog/big/x/117521-226ers-high-energy-gel-bcaa-76g.jpg?scale.width=170,2026-05-24,,,,,,,,
BCAA'S + GLUTAMINA 400g,Aminoácidos,BCAA,18.99,0.4,47.47,Nutritienda,https://www.nutritienda.com/es/amazin-foods/bcaa-glutamina-400g,https://nutritienda-cdn.sirv.com/catalog/big/45657-amazin-foods-bcaa-s-glutamina-400g.jpg?scale.width=170,2026-05-24,,,,,,,,
Zero BCAA 300 g,,BCAA,15.9,0.3,53.0,Prozis,https://www.prozis.com/es/es/prozis/zero-bcaa-300-g,//static.sscontent.com/thumb/750/750/t/products/124/v1475406_prozis_zero-bcaa-300-g_green-apple_flavor_21.png,2026-05-24,,,,,"['Limón', 'Manzana verde', 'Mojito']",4.62,1.0,https://www.prozis.com/es/es/prozis/zero-bcaa-300-g
BCAA + Glutamine 500g,Quamtrax Direct,BCAA,26.5,0.5,53.0,Nutritienda,https://www.nutritienda.com/es/quamtrax-direct/bcaa-glutamine-500g,https://nutritienda-cdn.sirv.com/catalog/big/bk/184488-quamtrax-direct-bcaa-glutamine-500g.jpg?scale.width=170,2026-05-24,,10.0,50.0,,"['Cola', 'Cereza', 'Piña Colada']",,,
BCAA+GLUTAMINE 500g,Ramificados,BCAA,27.0,0.5,54.0,Nutritienda,https://www.nutritienda.com/es/best-protein/bcaa-glutamine-500g,https://nutritienda-cdn.sirv.com/catalog/big/t/95964-best-protein-bcaa-glutamine-6-1-1-500g-v2.jpg?scale.width=170,2026-05-24,,,,,,,,
BCAA 2:1:1 250g,,BCAA,13.99,0.25,55.96,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/bcaa-2-1-1/10529280/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/10529280-1585276144825973.jpg&format=webp&width=1500&height=1500&fit=cover,2026-05-24,,,,,"['Sin Sabor', 'Limón Amargo', 'Fresa y Lima', 'Cola', 'Tropical', 'Berry Burst', 'Sandía', 'Frambuesa Azul', 'Melocotón y Mango', 'Mojito', 'Uva']",4.45,191.0,https://www.myprotein.es/p/nutricion-deportiva/bcaa-2-1-1/10529280/
Bcaa+Glutamine Concept 500g,MEGA PLUS,BCAA,28.05,0.5,56.1,Nutritienda,https://www.nutritienda.com/es/mega-plus/bcaa-glutamine-concept-500g,https://nutritienda-cdn.sirv.com/catalog/big/x/116588-mega-plus-bcaa-glutamine-concept-500g.jpg?scale.width=170,2026-05-24,,,,,,,,
