nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,imagen_url,fecha_scraping,protein_per_serving_g,serving_size_g,servings_per_container,sweetener_free,flavors_available,store_rating,store_rating_count,store_rating_url,protein_subtype
Malato de L-Citrulina 300 g,,Pre-Entreno,19.99,0.3,66.63,Prozis,https://www.prozis.com/es/es/prozis/malato-de-l-citrulina-300-g,//static.sscontent.com/thumb/750/750/t/products/124/v1304266_prozis_l-citrulline-malate-300g_1.png,2026-09-23,,,,,"['Neutro', 'Manzana verde', 'Sandía']",4.72,2862.0,https://www.prozis.com/es/es/prozis/malato-de-l-citrulina-300-g,
C4 Sport 288g,Cellucor,Pre-Entreno,19.95,0.288,69.27,Nutritienda,https://www.nutritienda.com/es/cellucor/c4-sport-288g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/4b2cc61b-e2dc-4c68-200f-3b4eb2b80900/public,2026-09-23,,,,,,,,,
Amino Charge 570g,Scitec,Pre-Entreno,39.5,0.57,69.3,Nutritienda,https://www.nutritienda.com/es/scitec/amino-charge-con-bcaa-y-glutamina-570g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/ca6b00bf-aa69-4139-b392-8a993d154300/public,2026-09-23,,,,,,4.8,17.0,https://www.nutritienda.com/es/scitec/amino-charge-con-bcaa-y-glutamina-570g,
Attack 416g,Scitec,Pre-Entreno,28.9,0.416,69.47,Nutritienda,https://www.nutritienda.com/es/scitec/attack-416g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/f4ce2689-e1a9-4922-7cc1-079a7aad9f00/public,2026-09-23,,,,,,,,,
Super Shock 600g,Quamtrax,Pre-Entreno,41.9,0.6,69.83,Nutritienda,https://www.nutritienda.com/es/quamtrax/super-shock-600g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/67a9fb47-9955-4706-70ca-3b0dc8191200/public,2026-09-23,,,,,,,,,
Bavarian Elite OCTANOX Pre-Entreno 350g | Energía Extrema,Bavarian Elite,Pre-Entreno,25.0,0.35,71.43,Nutritienda,https://www.nutritienda.com/es/bavarian-elite/octano-x-350g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/79eaa461-a12e-4d2c-764c-5dde8697bf00/public,2026-09-23,,,,,,5.0,6.0,https://www.nutritienda.com/es/bavarian-elite/octano-x-350g,
ABE Pre-Workout 375g,Applied Nutrition,Pre-Entreno,26.99,0.375,71.97,Nutritienda,https://www.nutritienda.com/es/applied-nutrition/abe-pre-workout-375g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/a09a1c55-4a0a-4c2d-a92d-496a3b3a5500/public,2026-09-23,,,,,,5.0,4.0,https://www.nutritienda.com/es/applied-nutrition/abe-pre-workout-375g,
Applied Nutrition ABE Pre-Entreno 375g - El Mejor de Europa,Applied Nutrition,Pre-Entreno,26.99,0.375,71.97,Nutritienda,https://www.nutritienda.com/es/applied-nutrition/abe-375g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/24b48ac4-34d9-4eff-e5fd-dc2dd2733000/public,2026-09-23,,,,,,,,,
KNOCKOUT 2.0 305g,Olimp,Pre-Entreno,22.1,0.305,72.46,Nutritienda,https://www.nutritienda.com/es/olimp/knockout-2-pre-entrenamiento-305g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/53640d55-d076-44ca-4a57-2a6e12e33c00/public,2026-09-23,,,,,,4.4,30.0,https://www.nutritienda.com/es/olimp/knockout-2-pre-entrenamiento-305g,
JACK3D 45 Servicios ▸ USP Labs | Nutritienda 315g,Usp Labs,Pre-Entreno,22.89,0.315,72.67,Nutritienda,https://www.nutritienda.com/es/usp-labs-jack3d-45-servicios,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/1ea7eca2-1f8a-4dbb-b151-29af228c3500/public,2026-09-23,,,,,,4.6,129.0,https://www.nutritienda.com/es/usp-labs-jack3d-45-servicios,
Barrita Pre-Workout Impact GoldNutrition - Energía + Cafeína 400g,Gold Nutrition,Pre-Entreno,29.9,0.4,74.75,Nutritienda,https://www.nutritienda.com/es/gold-nutrition/pre-workout-impact-pre-entrenamiento-400g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/d32778fd-7675-431d-c661-67ea86d32b00/public,2026-09-23,,,,,,4.7,35.0,https://www.nutritienda.com/es/gold-nutrition/pre-workout-impact-pre-entrenamiento-400g,
Platinum Pre Workout 420g,Optimum Nutrition,Pre-Entreno,31.49,0.42,74.98,Nutritienda,https://www.nutritienda.com/es/optimum-nutrition/platinum-pre-workout-420g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/3b07f783-b86c-4493-f885-50e3da1dbb00/public,2026-09-23,,,,,,,,,
Total Rush 2.0 375g,Weider,Pre-Entreno,28.41,0.375,75.76,Nutritienda,https://www.nutritienda.com/es/weider/total-rush-2-pre-entrenamiento-375g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/be8702e2-cc6b-48e9-4670-a1c1d526bc00/public,2026-09-23,,,,,,4.6,17.0,https://www.nutritienda.com/es/weider/total-rush-2-pre-entrenamiento-375g,
Pre Workout 300g,Best Protein,Pre-Entreno,23.15,0.3,77.17,Nutritienda,https://www.nutritienda.com/es/best-protein/pre-workout,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/4ff2f051-5582-42ec-b858-06867ceb2700/public,2026-09-23,,,,,,4.8,12.0,https://www.nutritienda.com/es/best-protein/pre-workout,
NITROX THERAPY 340g,Biotech Usa,Pre-Entreno,26.9,0.34,79.12,Nutritienda,https://www.nutritienda.com/es/biotech-usa/nitrox-therapy,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/821605c9-544b-40b5-68cf-bf606037a800/public,2026-09-23,,,,,,4.9,35.0,https://www.nutritienda.com/es/biotech-usa/nitrox-therapy,
