nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,imagen_url,fecha_scraping
Capuchino Proteico - Con Cafeína Extra 400 g,,Proteinas Whey,19.99,0.4,49.97,Prozis,https://www.prozis.com/es/es/prozis/capuchino-proteico-con-cafeina-extra-400-g,//static.sscontent.com/thumb/750/750/t/products/124/v1244493_prozis_protein-cappuccino-extra-caffeine-400-g_1.png,2026-04-15
Latte de Caramelo Proteico - Con Cafeína Extra 400 g,,Proteinas Whey,19.99,0.4,49.97,Prozis,https://www.prozis.com/es/es/prozis/latte-de-caramelo-proteico-con-cafeina-extra-400-g,//static.sscontent.com/thumb/750/750/t/products/124/v1244428_prozis_protein-caramel-latte-extra-caffeine-400-g_1.png,2026-04-15
Mocachino Proteico 400 g,,Proteinas Whey,19.99,0.4,49.97,Prozis,https://www.prozis.com/es/es/prozis/mocachino-proteico-400-g,//static.sscontent.com/thumb/750/750/t/products/124/v1244532_prozis_protein-mochaccino-400-g_1.png,2026-04-15
Latte de Avellana Proteico - Con Cafeína Extra 400 g,,Proteinas Whey,19.99,0.4,49.97,Prozis,https://www.prozis.com/es/es/prozis/latte-de-avellana-proteico-con-cafeina-extra-400-g,//static.sscontent.com/thumb/750/750/t/products/124/v1244389_prozis_protein-hazelnut-latte-extra-caffeine-400-g_1.png,2026-04-15
Mocachino Proteico - Con Cafeína Extra 400 g,,Proteinas Whey,19.99,0.4,49.97,Prozis,https://www.prozis.com/es/es/prozis/mocachino-proteico-con-cafeina-extra-400-g,//static.sscontent.com/thumb/750/750/t/products/124/v1244519_prozis_protein-mochaccino-extra-caffeine-400-g_1.png,2026-04-15
Latte Proteico 400 g,,Proteinas Whey,19.99,0.4,49.97,Prozis,https://www.prozis.com/es/es/prozis/latte-proteico-400-g,//static.sscontent.com/thumb/750/750/t/products/124/v1244480_prozis_protein-latte-400-g_1.png,2026-04-15
Natural Real Whey Isolate 1814 g,,Proteinas Whey,90.99,1.814,50.16,Prozis,https://www.prozis.com/es/es/prozis/natural-real-whey-isolate-1814-g,//static.sscontent.com/thumb/750/750/t/products/124/v1723086_prozis_natural-real-whey-isolate-1814-g_1.png,2026-04-15
Zero Diet Whey 750 g,,Proteinas Whey,37.99,0.75,50.65,Prozis,https://www.prozis.com/es/es/prozis/zero-diet-whey-750-g,//static.sscontent.com/thumb/750/750/t/products/124/v1551843_prozis_zero-diet-whey-750-g_1.png,2026-04-15
Whey Protein+ 871g,Crown Sport Nutrition,Proteinas Whey,45.0,0.871,51.66,Nutritienda,https://www.nutritienda.com/es/crown-sport-nutrition/whey-protein-871g,,2026-04-15
EVOHYDRO 30HD 500g,,Proteinas Whey,25.94,0.5,51.88,HSN,https://www.hsnstore.com/marcas/sport-series/evohydro-30hd,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/e/v/evohydro-30hd-hsn_1.webp,2026-04-15
Isopro CFM 1 Kg,Quamtrax,Proteinas Whey,52.9,1.0,52.9,Nutritienda,https://www.nutritienda.com/es/quamtrax/isopro-cfm-1-kg,,2026-04-15
C4 Whey Protein 770g,Proteína Premium,Proteinas Whey,40.85,0.77,53.05,Nutritienda,https://www.nutritienda.com/es/cellucor/c4-whey-protein-770g,,2026-04-15
SPORT LIVE ISO WHEY PROTEIN 800g,¡80% proteínas!,Proteinas Whey,43.9,0.8,54.87,Nutritienda,https://www.nutritienda.com/es/drasanvi/sport-live-iso-whey-protein-800g,,2026-04-15
Natural Real Whey Isolate 907g,,Proteinas Whey,49.99,0.907,55.12,Prozis,https://www.prozis.com/es/es/prozis/natural-real-whey-isolate-907g,//static.sscontent.com/thumb/750/750/t/products/124/v1723044_prozis_natural-real-whey-isolate-907g_1.png,2026-04-15
Proteína de Suero Sabor Vainilla 400g,Whey Premium,Proteinas Whey,22.38,0.4,55.95,Nutritienda,https://www.nutritienda.com/es/purasana/proteina-de-suero-sabor-vainilla-400g,,2026-04-15
100% Whey Isolate 700g,Quamtrax Direct,Proteinas Whey,41.9,0.7,59.86,Nutritienda,https://www.nutritienda.com/es/quamtrax-direct/100-whey-isolate-700g,,2026-04-15
100% Whey Hydro Isolate Clear 700g,,Proteinas Whey,41.99,0.7,59.99,Prozis,https://www.prozis.com/es/es/prozis/100-whey-hydro-isolate-clear-700g,//static.sscontent.com/thumb/750/750/t/products/124/v1553769_prozis_100-whey-hydro-isolate-clear-700-g_mango-and-peach_flavor_21.png,2026-04-15
Isopro CFM (Provon) 500g,Quamtrax,Proteinas Whey,31.9,0.5,63.8,Nutritienda,https://www.nutritienda.com/es/quamtrax/isopro-cfm-provon-500g,,2026-04-15
Proteína de Suero Cacao 65% Eco 400g,Orgánica,Proteinas Whey,26.35,0.4,65.88,Nutritienda,https://www.nutritienda.com/es/purasana/proteina-de-suero-cacao-65-eco-400g,,2026-04-15
100% Hydro Isolate 700g,Scitec,Proteinas Whey,48.9,0.7,69.86,Nutritienda,https://www.nutritienda.com/es/scitec/100-hydro-isolate-700g,,2026-04-15
AISLADO DE PROTEÍNA HIDROLIZADA CLEAR WHEY 500g,,Proteinas Whey,38.94,0.5,77.88,HSN,https://www.hsnstore.com/marcas/raw-series/aislado-de-proteina-hidrolizada-clear-whey,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/h/y/hydrolysed-clear-protein-hsn_1.webp,2026-04-15
Myvegan Vegan Protein Blend (Sample) 30g,,Proteinas Whey,2.49,0.03,83.0,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/myvegan-vegan-protein-blend-sample/11332873/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/12703800-1095173229247117.jpg&format=webp&width=1500&height=1500&fit=cover,2026-04-15
Aislado de Proteína de Soja (Muestra) 30g,,Proteinas Whey,2.49,0.03,83.0,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/aislado-de-proteina-de-soja-muestra/11332868/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/12689516-1085173229180715.jpg&format=webp&width=1500&height=1500&fit=cover,2026-04-15
Iso Whey Clear 400g,Proteína Refrescante,Proteinas Whey,36.9,0.4,92.25,Nutritienda,https://www.nutritienda.com/es/biotechusa/iso-whey-clear-400g,,2026-04-15
2 x Sachet 100% Whey Prime 25g,,Proteinas Whey,2.78,0.025,111.2,Prozis,https://www.prozis.com/es/es/prozis/2-x-sachet-100-whey-prime-25g,//static.sscontent.com/thumb/750/750/t/products/124/v1505030_prozis_2-x-sachet-100-whey-prime-25-g_1.png,2026-04-15
KETO WHEY PROTEIN 500g,,Proteinas Whey,65.0,0.5,130.0,HSN,https://www.hsnstore.com/marcas/keto-series/keto-whey-protein,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/k/e/keto-whey-protein-hsnstore_1.webp,2026-04-15
3 x Sachet 100 % Real Whey Protein 30 g,,Proteinas Whey,4.17,0.03,139.0,Prozis,https://www.prozis.com/es/es/prozis/3-x-sachet-100-real-whey-protein-30-g,//static.sscontent.com/thumb/750/750/t/products/124/v1478451_prozis_3-x-sachet-100--real-whey-protein-30-g_1.png,2026-04-15
CREMA DE ARROZ PROTEICA 50g,,Proteinas Whey,7.45,0.05,149.0,HSN,https://www.hsnstore.com/marcas/food-series/crema-de-arroz-proteica,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/h/i/high-protein-rice-cream-hsn_1.webp,2026-04-15
EVOBASIC WHEY 30g,,Proteinas Whey,10.34,0.03,344.67,HSN,https://www.hsnstore.com/marcas/sport-series/evobasic-whey,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/e/v/evobasic-whey-gral-front-hsn_1_1.webp,2026-04-15
CAFÉ PROTEICO #CaféFitConQ 35g,,Proteinas Whey,16.19,0.035,462.57,HSN,https://www.hsnstore.com/marcas/food-series/cafe-proteico-cafefitconq,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/p/r/protein-coffee-fitconq-front-v2-hsn_1_5_1.webp,2026-04-15
CAFÉ PROTEICO SIN EDULCORANTES #CaféFitConQ 35g,,Proteinas Whey,16.19,0.035,462.57,HSN,https://www.hsnstore.com/marcas/food-series/cafe-proteico-sin-edulcorantes-cafefitconq,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/c/a/cafefitconq-no-sweetener-500g-front-hsn_1.webp,2026-04-15
EVOCLEAR HYDRO 25g,,Proteinas Whey,19.66,0.025,786.4,HSN,https://www.hsnstore.com/marcas/sport-series/evoclear-hydro,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/e/v/evoclear-hydro-hsn_1.webp,2026-04-15
EVOWHEY PROTEIN,,Proteinas Whey,11.76,,,HSN,https://www.hsnstore.com/marcas/sport-series/evowhey-protein,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/e/v/evowhey-gral-new-front-hsn_1.webp,2026-04-15
EVOWHEY PROTEIN SIN EDULCORANTES,,Proteinas Whey,11.2,,,HSN,https://www.hsnstore.com/marcas/sport-series/evowhey-protein-sin-edulcorantes,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/e/v/evowhey-no-sweetener-gral-front-hsn_1.webp,2026-04-15
Impact Whey Protein + Colágeno,,Proteinas Whey,15.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/impact-whey-protein-colageno/17725536/,,2026-04-15
Impact Whey Protein,,Proteinas Whey,31.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/impact-whey-protein/10530943/,,2026-04-15
Clear Whey Isolate,,Proteinas Whey,53.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/clear-whey-isolate/12081395/,,2026-04-15
Impact Whey Isolate,,Proteinas Whey,27.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/impact-whey-isolate/10530911/,,2026-04-15
Essential Whey Protein,,Proteinas Whey,12.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/essential-whey-protein/11052699/,,2026-04-15
Proteína de Colágeno,,Proteinas Whey,31.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/proteina-de-colageno/11067704/,,2026-04-15
Crema de arroz,,Proteinas Whey,11.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/crema-de-arroz/13337581/,,2026-04-15
Mezcla de Proteína Vegana,,Proteinas Whey,13.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/mezcla-de-proteina-vegana/11776868/,,2026-04-15
Mezcla Sustitutiva de Comidas Proteica,,Proteinas Whey,15.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/mezcla-sustitutiva-de-comidas-proteica/11324199/,,2026-04-15
Aislado de Proteína de Soja,,Proteinas Whey,11.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/aislado-de-proteina-de-soja/10529701/,,2026-04-15
Mezcla Ganador de Peso,,Proteinas Whey,17.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/mezcla-ganador-de-peso/10529988/,,2026-04-15
Aislado de Proteína de Guisante,,Proteinas Whey,9.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/aislado-de-proteina-de-guisante/10530136/,,2026-04-15
Clear Vegan Protein,,Proteinas Whey,24.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/clear-vegan-protein/12360400/,,2026-04-15
Smoothie para el desayuno,,Proteinas Whey,26.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/smoothie-para-el-desayuno/13251950/,,2026-04-15
Myprotein Clear Whey Isolate (Sample),,Proteinas Whey,1.59,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/myprotein-clear-whey-isolate-sample/12081401/,,2026-04-15
Impact Diet Whey,,Proteinas Whey,14.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/impact-diet-whey/10530657/,,2026-04-15
Clear Whey Splash,,Proteinas Whey,25.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/clear-whey-splash/16111658/,,2026-04-15
Origin Protein (con Creatina),,Proteinas Whey,38.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/origin-protein-con-creatina/15245849/,,2026-04-15
Caseína de Liberación Lenta,,Proteinas Whey,34.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/caseina-de-liberacion-lenta/10798909/,,2026-04-15
Origin Mass Gainer,,Proteinas Whey,34.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/origin-mass-gainer/15607337/,,2026-04-15
Clear Collagen Powder Tub,,Proteinas Whey,31.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/clear-collagen-powder-tub/12865492/,,2026-04-15
Supermezcla de Clear Protein,,Proteinas Whey,19.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/supermezcla-de-clear-protein/14843629/,,2026-04-15
Batidos Essential,,Proteinas Whey,10.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/batidos-essential/16670299/,,2026-04-15
Supermezcla de proteína vegetal,,Proteinas Whey,12.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/supermezcla-de-proteina-vegetal/13972449/,,2026-04-15
Clear Whey Electrolyte,,Proteinas Whey,25.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/clear-whey-electrolyte/12869895/,,2026-04-15
THE Whey,,Proteinas Whey,30.49,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/the-whey/11353515/,,2026-04-15
Impact Whey Protein Elite,,Proteinas Whey,32.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/impact-whey-protein-elite/11243021/,,2026-04-15
Proteína de Suero Hidrolizada,,Proteinas Whey,43.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/proteina-de-suero-hidrolizada/10529805/,,2026-04-15
Colágeno Marino,,Proteinas Whey,38.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/colageno-marino/12376959/,,2026-04-15
Clear Whey Gainer,,Proteinas Whey,54.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/clear-whey-gainer/13096868/,,2026-04-15
Total Protein,,Proteinas Whey,44.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/total-protein/10529951/,,2026-04-15
Advanced Weight Gainer,,Proteinas Whey,49.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/advanced-weight-gainer/10615587/,,2026-04-15
Myvegan Plant Protein Superblend (Sample),,Proteinas Whey,2.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/myvegan-plant-protein-superblend-sample/13972456/,,2026-04-15
Clara de huevo en polvo,,Proteinas Whey,36.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/clara-de-huevo-en-polvo/10529687/,,2026-04-15
Clear Whey x Chupa Chups® sabor fresa,,Proteinas Whey,34.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/clear-whey-x-chupa-chups-sabor-fresa/14866280/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/14866281-1475093356308738.jpg&format=webp&width=1500&height=1500&fit=cover,2026-04-15
Clear All-In-One,,Proteinas Whey,29.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/clear-all-in-one/13324944/,,2026-04-15
Origin Protein – Iron Man – Tarta Red Velvet | MARVEL,,Proteinas Whey,63.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/origin-protein-iron-man-tarta-red-velvet-marvel/16003857/,,2026-04-15
